GammaRay(API),ShaleVolume,Resistivity,Sonic,Vp(m/s),Vs(m/s),Density,NeutronPorosity,DensityPorosity(g/cc),PoissonRatio,Depth(m)
50.324,0.4675,0.25,134.06,7459.3466,3050.7694,2.1049,-999.25,0.3108,0.3996,2088
54.355,0.5257,0.28,130.56,7659.3137,3191.1241,2.1265,-999.25,0.2948,0.395,2089
59.699,0.603,0.36,128.81,7763.3724,3249.9079,2.1432,-999.25,0.2809,0.3938,2090
64.84,0.6773,0.46,127.03,7872.1562,3312.8558,2.1599,-999.25,0.2669,0.3924,2091
64.652,0.6746,0.52,132.31,7558.0077,3068.29,2.1365,-999.25,0.2818,0.4013,2092
62.668,0.6459,0.54,132.31,7558.0077,3076.5794,2.1331,-999.25,0.2853,0.4007,2093
63.605,0.6594,0.54,130.81,7644.6755,3140.4093,2.1412,-999.25,0.2796,0.3985,2094
58.355,0.5834,0.54,129.56,7718.4316,3220.4970000000003,2.1376,-999.25,0.2853,0.3946,2095
56.293,0.5534,0.56,124.78,8014.1048,3461.5304,2.1553,-999.25,0.2755,0.3853,2096
61.23,0.625,0.63,126.53,7903.264,3352.8905,2.1559,-999.25,0.2719,0.3903,2097
57.262,0.5674,0.7,128.06,7808.8396,3296.17,2.1423,-999.25,0.2831,0.3916,2098
67.652,0.7181,0.79,120.53,8296.6896,3631.6782,2.195,-999.25,0.2428,0.3815,2099
66.84,0.7063,0.84,117.28,8526.603000000001,3814.6820000000002,2.2094,-999.25,0.2342,0.3749,2100
63.574,0.6589,0.83,124.53,8030.1935,3441.9001,2.1691,-999.25,0.262,0.3875,2101
67.59,0.7172,0.82,132.81,7529.5535,3033.8713,2.1394,-999.25,0.2781,0.4031,2102
73.715,0.8061,0.82,132.81,7529.5535,3008.5363,2.1498,-999.25,0.2673,0.405,2103
75.777,0.8361,0.8,130.31,7674.0081,3112.0813,2.1642,-999.25,0.2568,0.4016,2104
73.402,0.8016,0.77,133.06,7515.4066,2998.8223,2.1482,-999.25,0.2686,0.4053,2105
74.465,0.8171,0.79,137.81,7256.3675,2793.3579999999997,2.1302,-999.25,0.2793,0.413,2106
66.277,0.6981,0.75,132.56,7543.7538,3050.4126,2.1382,-999.25,0.2797,0.4023,2107
64.527,0.6726,0.65,121.78,8211.529,3579.3598,2.1835,-999.25,0.2522,0.3827,2108
63.074,0.6515,0.53,122.53,8161.2666,3546.6311,2.1775,-999.25,0.2571,0.3836,2109
59.512,0.5997,0.4,127.53,7841.2922,3311.9562,2.1484,-999.25,0.2777,0.3914,2110
50.637,0.4705,0.31,133.06,7515.4066,3094.0827,2.1094,-999.25,0.3079,0.39799999999999996,2111
50.98,0.4754,0.26,133.81,7473.283,3059.4543,2.1069,-999.25,0.3093,0.3993,2112
51.137,0.4776,0.22,133.81,7473.283,3058.8094,2.1071,-999.25,0.309,0.3994,2113
44.043,0.3742,0.2,134.56,7431.629,3056.0292,2.092,-999.25,0.3229,0.3982,2114
46.855,0.4151,0.23,132.31,7558.0077,3143.9535,2.106,-999.25,0.3124,0.3954,2115
60.574,0.6149,0.28,128.81,7763.3724,3246.3555,2.1446,-999.25,0.2794,0.39399999999999996,2116
63.949,0.6641,0.34,123.53,8095.1995,3491.1031,2.1743,-999.25,0.2585,0.3858,2117
54.73,0.5297,0.44,123.78,8078.8496,3519.7187,2.157,-999.25,0.2755,0.3829,2118
52.824,0.5018,0.49,128.56,7778.4692,3291.9651,2.1323,-999.25,0.2922,0.3909,2119
47.543,0.4247,0.49,126.03,7934.6187,3438.4909,2.1343,-999.25,0.2944,0.3844,2120
51.605,0.4839,0.51,121.53,8228.421,3651.7135,2.1619,-999.25,0.2745,0.3774,2121
56.043,0.5486,0.6,116.78,8563.1101,3894.1598,2.1926,-999.25,0.2523,0.3696,2122
60.512,0.6139,0.7,115.53,8655.7604,3945.5354,2.2069,-999.25,0.2403,0.3689,2123
